Departure,Nationality,Destination,Year
HELLEVOETSLUIS,DUTCH,RIO DE JANEIRO,1818
RIO DE JANEIRO,DUTCH,BATAVIA,1819
HELLEVOETSLUIS,DUTCH,BAHIA DE TODOS LOS SANTOS,1833
BAHIA DE TODOS LOS SANTOS,DUTCH,BATAVIA,1834
BATAVIA,DUTCH,SOERABAJA,1834
SOERABAJA,DUTCH,AMBON,1834
AMBON,DUTCH,TERNATTEN,1834
TERNATTEN,DUTCH,BANDA,1834
BANDA,DUTCH,AMBON,1834
AMBON,DUTCH,SOERABAJA,1834
SOERABAJA,DUTCH,BATAVIA,1834
BATAVIA,DUTCH,KRUISJENDE (BIJ FANARA),1834
STRAAT VAN BANKA,DUTCH,BATAVIA,1835
BATAVIA,DUTCH,NEDERLAND,1838
CEYLON,DUTCH,TEXEL,1753
TEXEL,DUTCH,JAVA,1755
JAVA,DUTCH,COLOMBO,1755
COLOMBO,DUTCH,BATAVIA,1756
BATAVIA,DUTCH,ZIAM,1756
ZIAM,DUTCH,MALAKKA,1756
MALAKKA,DUTCH,PUNTO GALE,1757
PUNTO GALE,DUTCH,COLOMBO,1757
LISBON,BRITISH,SPITHEAD,1772
LISBON,BRITISH,SPITHEAD,1773
BASSE TERRE ROADS,BRITISH,SPITHEAD,1797
SPITHEAD,BRITISH,CARLISLE BAY, BARBADOS,1798
PORT ROYAL,BRITISH,NORE,1800
SPITHEAD,BRITISH,MOCHA,1798
BOMBAY,BRITISH,KEDGEREE,1800
SAUGOR ROAD,BRITISH,GOA,1802
SAUGOR ROAD,BRITISH,MADRAS,1804
CROQUE, NEWFOUNDLAND,BRITISH,FERCERA, NEAR ST MICHAELS ,1771
CROQUE, NEWFOUNDLAND,BRITISH,FERCERA, NEAR ST MICHAELS,1771
PLYMOUTH,BRITISH,NEWFOUNDLAND,1773
ST JOHNS, NEWFOUNDLAND,BRITISH,LISBON,1773
SPITHEAD,BRITISH,ST JOHNS, NEWFOUNDLAND,1774
ST JOHNS, NEWFOUNDLAND,BRITISH,CADIZ,1774
CADIZ,BRITISH,PLYMOUTH,1774
PLYMOUTH,BRITISH,ST JOHNS, NEWFOUNDLAND,1775
ST JOHNS, NEWFOUNDLAND,BRITISH,UK,1775
LISBON,BRITISH,PLYMOUTH,1776
LISBON,BRITISH,PLYMOUTH,1776
BROUWERSHAVEN,DUTCH,BATAVIA,1849
MANETER,DUTCH,SEMARANG,1849
SEMARANG,DUTCH,BATAVIA,1849
PANAROEKAN,DUTCH,BROUWERSHAVEN,1850
BROUWERSHAVEN,DUTCH,HARTLEPOOL,1850
HARTLEPOOL,DUTCH,CHINA,1850
HONG KONG,DUTCH,BATAVIA,1851
BATAVIA,DUTCH,BROUWERSHAVEN,1851
TENERIFFE,BRITISH,MADAGASCAR,1761
MADAGASCAR,BRITISH,NAGAPATAN,1761
DIEGO RAYS (RODRIQUES),BRITISH,TABLE BAY,1761
TABLE BAY,BRITISH,ST HELENA,1762
ST HELENA,BRITISH,UK,1762
CAPE FRANCOIS HARBOUR, HISPANOLA,BRITISH,SPITHEAD,1791
DOWNS,BRITISH,MADRAS,1791
JAVA HEAD,BRITISH,DOWNS,1791
JAVA HEAD,BRITISH,ST HELENA,1795
SIMONS BAY,BRITISH,MADRAS,1796
LOMBOCK (NR BALI),BRITISH,PORTSMOUTH,1797
TEXEL,DUTCH,ST SALVADOR,1833
ST SALVADOR,DUTCH,BATAVIA,1833
BATAVIA,DUTCH,NIEUWEDIEP,1834
NEDERLAND,DUTCH,SURINAME,1837
SURINAME,DUTCH,THE NETHERLANDS,1839
BATAVIA,DUTCH,TEXEL,1775
