Departure,Nationality,Destination,Year
Lisbon,British,Plymouth,1776
Brouwershaven,Dutch,Batavia,1849
Maneter,Dutch,Semarang,1849
Semarang,Dutch,Batavia,1849
Panaroekan,Dutch,Brouwershaven,1850
Brouwershaven,Dutch,Hartlepool,1850
Hartlepool,Dutch,China,1850
Hong Kong,Dutch,Batavia,1851
Batavia,Dutch,Brouwershaven,1851
Teneriffe,British,Madagascar,1761
Madagascar,British,Nagapatan,1761
Diego Rays (Rodriques),British,Table Bay,1761
Table Bay,British,St Helena,1762
St Helena,British,UK,1762
Cape Francois Harbour, Hispanola,British,Spithead,1791
Downs,British,Madras,1791
Java Head,British,Downs,1791
Java Head,British,St Helena,1795
Simons Bay,British,Madras,1796
Lombock (Nr Bali),British,Portsmouth,1797
Texel,Dutch,St Salvador,1833
St Salvador,Dutch,Batavia,1833
Batavia,Dutch,Nieuwediep,1834
Nederland,Dutch,Suriname,1837
Suriname,Dutch,The Netherlands,1839
Batavia,Dutch,Texel,1775
Rotterdam,Dutch,Madeira,1777
Madeira,Dutch,Texel,1777
Texel,Dutch,Lissabon,1778
Lissabon,Dutch,Madeira,1778
Madeira,Dutch,St Eustatius,1778
St Eustatius,Dutch,Texel,1778
Portsmouth,British,Halifax,1791
Halifax,British,Barbados,1793
Havanna,British,Liverpool,1794
Cape St Vincent,British,Barbados,1805
Barbados,British,Gibraltar,1805
Spithead,British,Funchal,1806
Funchal,British,St Jago,1806
St Jago,British,Azores,1806
Spithead,British,Funchal,1806
Funchal,British,Barbados,1806
Barbados,British,Newfoundland,1806
Rotterdam,Dutch,Porte Praay,1767
Porte Praay,Dutch,St Paulo,1768
St Paulo,Dutch,Maxim,1768
St George d'Elmina,Dutch,Suriname,1768
Suriname,Dutch,St Jacobsbaai,1768
St Jacobsbaai,Dutch,St Eustatius,1768
St Eustatius,Dutch,Texel,1769
Texel,Dutch,Lissabon,1791
Lissabon,Dutch,Baai Fals,1792
Baai Fals,Dutch,Straat Sunda,1793
Nederland,Dutch,Batavia,1849
Spithead,British,Barbados,1796
Port Royal Jamaica,British,Plymouth,1798
Cork,British,Barbados,1801
Port Royal Jamaica,British,Spithead,1801
Nederland,Dutch,Batavia,1849
Batavia,Dutch,Nieuwediep,1849
Nederland,Dutch,Kaap de Goede Hoop,1850
Kaap de Goede Hoop,Dutch,Batavia,1850
Batavia,Dutch,Nederland,1850
Spithead,British,Martinico,1798
Brest,French,Fort Royal,1775
Caribean,French,Brest,1776
Coastal,French,Coastal,1776
Spithead,British,Carlise Bay (Barbados),1797
Basse Terre Road, St Kitts,British,Spithead,1801
Nieuwediep,Dutch,Guinee,1838
Guinee,Dutch,Nieuwediep,1838
Nieuwediep,Dutch,Suriname,1839
Suriname,Dutch,Barbados,1840
Suriname,Dutch,Nederland,1841
Nieuwediep,Dutch,Liverpool,1853
Liverpool,Dutch,Port Philip,1853
Port Philip,Dutch,Batavia,1853
Soerabaija,Dutch,Nieuwediep,1854
Unknown,Dutch,Paramaribo,1826
Curacao,Dutch,Rio de Janeiro,1827
Rio de Janeiro,Dutch,Rio de la Plata,1827
Rio de Janeiro,Dutch,Vlissingen,1827
Nederland,Dutch,Batavia,1842
Batavia,Dutch,Nieuwediep,1842
Nieuwediep,Dutch,Batavia,1845
Batavia,Dutch,Nieuwediep,1845
Texel,Dutch,Porto Praijo,1815
Porto Praijo,Dutch,Allerheiligen Baaij,1815
Allerheiligen Baaij,Dutch,Tafelbaai,1816
Tafelbaai,Dutch,Batavia,1816
Soerabaya,Dutch,Algoa Baai,1817
Algoa Baai,Dutch,Nederland,1818
London,Dutch,New York,1853
New York,Dutch,Curacao,1853
Curacao,Dutch,The Netherlands,1853
Isle of Bec (Canada),British,Cadiz,1793
St Kitts,British,Halifax,1795
St Johns,British,Lisbon,1795
Nederland,Dutch,Batavia,1836
Batavia,Dutch,Rotterdam,1836
Nederland,Dutch,Java,1844
Tjilatjap,Dutch,Nederland,1844
Nederland,Dutch,Rio de la Plata,1845
Buenos Aires,Dutch,Antwerpen,1845
Nieuwediep,Dutch,Suriname,1852
Suriname,Dutch,Nieuwediep,1852
Nieuwediep,Dutch,Suriname,1853
Suriname,Dutch,Nieuwediep,1853
Spithead,British,St John's Harbour Newfoundland,1770
St John's Harbour Newfoundland,British,Spithead,1770
Rotterdam,Dutch,Batavia,1828
Batavia,Dutch,Rotterdam,1829
Rotterdam,Dutch,Batavia,1829
Batavia,Dutch,Rotterdam,1830
Rotterdam,Dutch,Batavia,1830
Batavia,Dutch,Rotterdam,1831
Bali,Dutch,Rotterdam,1833
Rotterdam,Dutch,Batavia,1832
Bali,Dutch,Rotterdam,1832
Rotterdam,Dutch,Batavia,1833
Bali,Dutch,Rotterdam,1834
Rotterdam,Dutch,Batavia,1834
Batavia,Dutch,Nederland,1835
Rotterdam,Dutch,Batavia,1836
Batavia,Dutch,Nederland,1836
Nederland,Dutch,St George d'Elmina,1837
St George d'Elmina,Dutch,Batavia,1837
Soerabaija,Dutch,Nederland,1838
Nederland,Dutch,St George d'Elmina,1840
St George d'Elmina,Dutch,Batavia,1840
Java,Dutch,Nederland,1841
Nederland,Dutch,St George d'Elmina,1844
St George d'Elmina,Dutch,Batavia,1845
Java,Dutch,Brouwershaven,1845
Lisbon,British,Spithead,1780
Texel,Dutch,Fontiaal,1752
Fontiaal,Dutch,Curacao,1752
Curacao,Dutch,Texel,1753
Hellevoetsluis,Dutch,Suriname,1780
Fort Amsterdam,Dutch,Hellevoetsluis,1780
Hellevoetsluis,Dutch,St Eustacius,1780
St Eustacius,Dutch,Rotterdam,1783
Hellevoetsluis,Dutch,Demerary,1785
Demerary,Dutch,Nederland,1785
Soerabaya,Dutch,Lissabon,1804
Texel,Dutch,Rio de Janeiro,1821
Rio de Janeiro,Dutch,Batavia,1821
Batavia,Dutch,Kaapstad,1823
Kaapstad,Dutch,Nederland,1824
Medemblik,Dutch,New York,1825
New York,Dutch,Tafelbaai,1825
Tafelbaai,Dutch,Batavia,1825
Curaçao,Dutch,Suriname,1853
Torbay,British,Madeira,1776
Madeira,British,Porta Praya,1776
Porta Praya,British,Ascension,1776
Ascension,British,St Helena,1776
St Helena,British,UK,1776
Madeira,British,Cape of Good Hope,1762
Cape of Good Hope,British,Madras,1762
Manilla,British,Mallacca,1763
Malacca,British,Achin Road,1763
Achin Road,British,Madras,1763
Calcutta ,British,Batavia,1764
Batavia,British,Canton,1765
Wampoa,British,Malacca,1765
Pulo Perra,British,Madras,1766
Madras,British,Port Louis,1766
Port Louis,British,St Augustine,1766
St Augustine,British,Cape of Good Hope,1766
Cape of Good Hope,British,St Helena,1767
St Helena,British,UK,1767
Basse Terre,British,Antigua,1775
Basse Terre,British,Spithead,1776
Spithead,British,Goree,1782
St Thomas,British,Barbados,1782
Antigua,British,Plymouth,1784
Spithead,British,St Helena,1794
St Helena,British,Downs,1794
Nederland,Dutch,Batavia,1840
Nederland,Dutch,Batavia,1841
Nederland,Dutch,Kaapstad,1841
Kaapstad,Dutch,Batavia,1841
Batavia,Dutch,Nieuwediep,1843
Batavia,Dutch,Nederland,1843
Nederland,Dutch,Rio de Janeiro,1846
Rio de Janeiro,Dutch,Batavia,1847
Rio de Janeiro,Dutch,Batavia,1847
Batavia,Dutch,Padang,1847
Padang,Dutch,Batavia,1848
Batavia,Dutch,Straat Sapoedie,1849
Batavia,Dutch,The Netherlands,1850
Nederland,Dutch,Lerwick,1846
Lerwick,Dutch,Hellevoetsluis,1846
Hellevoetsluis,Dutch,Rio de Janeiro,1846
Rio de Janeiro,Dutch,Batavia,1847
Charles Town (Charleston),British,Lisbon,1751
Lisbon,British,Woolwich,1751
Spithead,British,New York,1753
New York,British,St Mary's sound, England,1753
Plymouth, GB,British,St Johns Harbour, Newfoundland,1754
St John's Harbour (Newfoundland),British,Lisbon,1754
Lisbon,British,Spithead,1754
St Hellens Road (England),British,Halifax (Nova Scotia),1755
Halifax,British,Plymouth,1755
Lisbon,British,Spithead,1756
Carrick Road,British,Charles Town,1757
Charles Town (Charleston),British,Deptford,1757
Spithead,British,Louisbourg,1758
Louisbourg,British,Antigua,1759
Antigua,British,Portsmouth,1761
Torbay,British,Hampton Road,1762
Plymouth,British,Teneriffe,1774
Teneriffe,British,Plymouth,1774
Newport Rhode Island,British,Portsmouth,1777
Spithead,British,Madeira,1778
Madeira,British,Simon's Bay,1778
Simons Bay,British,Bombay,1778
Madras,British,Madagascar,1780
Madagascar,British,Table Bay,1780
Table Bay,British,St Helena,1780
Spithead,British,Sumatra,1785
Java,British,Spithead,1786
Dunnose,British,Bombay,1788
Whampoa,British,Blackwall,1789
Plymouth,British,Cape Coast,1756
Cape Coast,British,Princes Island,1756
Princes  ,British,Barbados,1757
Spithead,British,Hampton Road Virginia,1761
Virginia,British,Portsmouth,1761
Madeira,British,St Helena,1762
St Helena,British,Downs UK,1762
Cadiz,British,Spithead,1750
Plymouth,British,Madeira,1751
Port Praya,British,Sierra Leone,1751
Cork ,British,Charlestown,1780
Madras,British,Spithead,1792
Nederland,Dutch,Elmina,1802
St George d'Elmina,Dutch,Nieuwe Diep,1802
Nederland,Dutch,Suriname,1851
Suriname,Dutch,Curacao,1851
Curacao,Dutch,Hellevoetsluis,1851
Pensicola Florida,British,The Downs, UK,1778
Spithead,British,Santa Cruz, Tenerife,1779
Gravesend,British,Java,1785
Java Head,British,Gravesend,1786
Nederland,Dutch,New York,1815
New York,Dutch,Schiedam,1815
Canton,British,Deptford,1751
Texel,Dutch,Batavia,1819
Batavia,Dutch,Antwerpen,1820
Antwerpen,Dutch,Batavia,1821
Batavia,Dutch,Antwerpen,1821
Spithead,British,Gibraltar,1759
Yarmouth,British,Barbados,1777
English Bay, Antigua,British,Antigua,1778
Barbados (Cruising),British,Carlise Bay Barbados,1779
Antigua,British,Barbados,1779
Barbados,British,Downs UK,1779
Kedgeree,British,St Helena,1801
Texel,Dutch,Batavia,1836
Java,Dutch,Texel,1836
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Spithead,British,cruise in Western Approaches,1760
Nederland,Dutch,Batavia,1851
Batavia,Dutch,Nederland,1852
Nederland,Dutch,Batavia,1852
Batavia,Dutch,Nieuwediep,1853
Nederland,Dutch,Batavia,1853
Batavia,Dutch,Nederland,1854
CADIZ,Spanish,RIO DE JANEIRO,1765
RIO DE JANEIRO,Spanish,MANILA,1765
MANILA,Spanish,CADIZ,1767
MANILA,Spanish,ISLA DE LA ASCENSION,1767
Cape Clear,British,Searching for an island,1751
Portsmouth,British,Madeira,1751
Madeira,British,Accraw,1752
Accraw,British,UK,1752
Kinsale (Eire),British,Madeira,1752
Madeira,British,River Gambia,1752
River Gambia,British,River Serralione,1752
River Serralione,British,Cape Mount,1752
Cape Mount,British,Cape Moniferado,1752
Cape Moniferado,British,Crew Setra,1752
Crew Setra,British,Dixcove,1752
Accraw,British,St Thomas,1752
St Thomas,British,Barbados,1753
Antigua,British,Lizard,1755
Dixcove,British,Accraw,1752
Bombay,British,Diego Ray,1761
Diego Ray,British,Mauritius,1761
Mauritius,British,Madras,1761
Colombo (Sri Lanka),British,Princes Island (Java),1761
Mew Bay -Java,British,Bombay,1762
Cape Comerin,British,St Helena,1764
St Helena,British,Ascension,1764
Ascension,British,Spithead,1764
Nieuwediep,Dutch,Batavia,1845
Batavia,Dutch,Vlissingen,1853
Rotterdam,Dutch,Batavia,1829
Soerabaya,Dutch,Rotterdam,1830
Rotterdam,Dutch,Batavia,1832
Batavia,Dutch,Rotterdam,1832
Rotterdam,Dutch,Batavia,1833
Padang,Dutch,Helvoetsluis,1833
