Departure,Nationality,Destination,Year
LA CORUÑA,Spanish,LA HABANA,1783
LA HABANA,Spanish,LA CORUÑA,1783
LA CORUÑA,Spanish,LA HABANA,1788
LA HABANA,Spanish,LA CORUÑA,1788
LA CORUÑA,Spanish,LA HABANA,1789
LA HABANA,Spanish,LA CORUÑA,1789
LA CORUÑA,Spanish,LA HABANA,1790
LA HABANA,Spanish,LA CORUÑA,1790
LA CORUÑA,Spanish,LA HABANA,1791
LA HABANA,Spanish,LA CORUÑA,1791
LA CORUÑA,Spanish,LA HABANA,1789
LA CORUÑA,Spanish,LA HABANA,1765
LA HABANA,Spanish,LA CORUÑA,1765
LA CORUÑA,Spanish,LA HABANA,1767
LA HABANA,Spanish,LA CORUÑA,1767
LA CORUÑA,Spanish,LA HABANA,1767
LA HABANA,Spanish,LA CORUÑA,1767
LA CORUÑA,Spanish,LA HABANA,1775
LA HABANA,Spanish,LA CORUÑA,1775
LA CORUÑA,Spanish,LA HABANA,1775
LA HABANA,Spanish,LA CORUÑA,1776
LA CORUÑA,Spanish,LA HABANA,1776
LA HABANA,Spanish,LA CORUÑA,1776
LA CORUÑA,Spanish,LA HABANA,1777
LA HABANA,Spanish,LA CORUÑA,1777
LA CORUÑA,Spanish,LA HABANA,1777
LA HABANA,Spanish,LA CORUÑA,1778
LA CORUÑA,Spanish,LA HABANA,1784
LA HABANA,Spanish,LA CORUÑA,1784
LA CORUÑA,Spanish,LA HABANA,1786
LA HABANA,Spanish,LA CORUÑA,1786
LA CORUÑA,Spanish,LA HABANA,1787
LA HABANA,Spanish,LA CORUÑA,1788
LA CORUÑA,Spanish,LA HABANA,1788
LA HABANA,Spanish,LA CORUÑA,1788
La Coruña,Spanish,Montevideo,1789
Montevideo,Spanish,La Coruña,1789
La Coruña,Spanish,Montevideo,1794
Montevideo,Spanish,La Coruña,1795
LA CORUÑA,Spanish,LA HABANA,1776
LA HABANA,Spanish,LA CORUÑA,1776
LA CORUÑA,Spanish,LA HABANA,1777
LA HABANA,Spanish,LA CORUÑA,1777
LA HABANA,Spanish,LA CORUÑA,1778
LA HABANA,Spanish,LA CORUÑA,1787
ALGECIRAS,Spanish,CÁDIZ,1782
CADIZ,Spanish,MANILA,1828
CADIZ,Spanish,CAVITE,1830
CÁDIZ,Spanish,CAVITE,1830
LA CORUÑA,Spanish,LA HABANA,1765
LA HABANA,Spanish,LA CORUÑA,1765
LA CORUÑA,Spanish,LA HABANA,1766
LA HABANA,Spanish,LA CORUÑA,1766
LA CORUÑA,Spanish,LA HABANA,1766
LA HABANA,Spanish,LA CORUÑA,1766
LA CORUÑA,Spanish,LA HABANA,1767
LA HABANA,Spanish,LA CORUÑA,1767
LA CORUÑA,Spanish,LA HABANA,1767
LA HABANA,Spanish,LA CORUÑA,1768
LA CORUÑA,Spanish,LA HABANA,1768
LA HABANA,Spanish,LA CORUÑA,1769
LA CORUÑA,Spanish,LA HABANA,1769
LA HABANA,Spanish,LA CORUÑA,1769
LA CORUÑA,Spanish,LA HABANA,1769
LA HABANA,Spanish,LA CORUÑA,1770
LA CORUÑA,Spanish,LA HABANA,1770
LA HABANA,Spanish,LA CORUÑA,1770
LA CORUÑA,Spanish,LA HABANA,1771
LA HABANA,Spanish,LA CORUÑA,1771
LA CORUÑA,Spanish,LA HABANA,1772
LA HABANA,Spanish,LA CORUÑA,1772
LA CORUÑA,Spanish,LA HABANA,1773
LA HABANA,Spanish,LA CORUÑA,1773
LA CORUÑA,Spanish,LA HABANA,1773
LA HABANA,Spanish,LA CORUÑA,1773
LA CORUÑA,Spanish,LA HABANA,1774
LA HABANA,Spanish,LA CORUÑA,1774
LA CORUÑA,Spanish,LA HABANA,1774
LA HABANA,Spanish,LA CORUÑA,1775
LA CORUÑA,Spanish,LA HABANA,1775
LA HABANA,Spanish,LA CORUÑA,1775
LA CORUÑA,Spanish,LA HABANA,1776
LA HABANA,Spanish,LA CORUÑA,1776
LA CORUÑA,Spanish,LA HABANA,1776
LA HABANA,Spanish,LA CORUÑA,1777
LA CORUÑA,Spanish,LA HABANA,1777
LA HABANA,Spanish,LA CORUÑA,1777
LA CORUÑA,Spanish,LA HABANA,1779
LA HABANA,Spanish,LA CORUÑA,1779
LA CORUÑA,Spanish,LA HABANA,1781
LA HABANA,Spanish,CADIZ,1781
CADIZ,Spanish,LA HABANA,1781
LA HABANA,Spanish,LA CORUÑA,1782
LA CORUÑA,Spanish,LA HABANA,1787
LA HABANA,Spanish,LA CORUÑA,1787
CÁDIZ,Spanish,MONTEVIDEO,1769
LA CORUÑA,Spanish,LA HABANA,1777
LA HABANA,Spanish,LA CORUÑA,1777
LA CORUÑA,Spanish,LA HABANA,1786
LA HABANA,Spanish,LA CORUÑA,1787
LA CORUÑA,Spanish,LA HABANA,1788
LA HABANA,Spanish,LA CORUÑA,1788
LA CORUÑA,Spanish,LA HABANA,1788
LA HABANA,Spanish,LA CORUÑA,1788
LA CORUÑA,Spanish,LA HABANA,1792
LA HABANA,Spanish,LA CORUÑA,1792
CADIZ,Spanish,CONCEPCION DE CHILE,1796
Spithead,British,Madeira,1779
Madeira,British,Goree,1779
Maderia,British,Goree,1779
Table Bay,British,Spithead,1785
Portsmouth,British,Rio de Janeiro,1803
Rio de Janeiro,British,Diamond Harbour, Bengal,1803
Plymouth,British,Rio de Janeiro,1806
Rio de Janeiro,British,Colombo, Ceylon,1806
Bombay,British,Downs,1807
Portsmouth,British,Diamond Harbour, Bengal,1808
Saugor  Roads,British,Downs,1809
Downs,British,China,1790
Java Head,British,Long Reach,1791
Downs,British,Bengal,1792
Cox's Island (Bengal),British,Downs,1793
Portsmouth,British,Benkuleu,1786
Java Head,British,Downs UK,1787
Downs UK,British,Java Head,1789
Java Head,British,Downs UK,1790
Madras,British,UK,1765
Gravesend,British,St Helena,1767
Pisang (sumatra),British,Cape of Good Hope,1768
UK,British,Benkulen,1769
Java Head,British,Downs,1771
Texel,Dutch,Tafelbaaij,1802
Tafelbaaij,Dutch,Batavia,1802
Batavia,Dutch,Tafelbaaij,1802
Tafelbaaij,Dutch,Plymouth,1803
Willemsoord,Dutch,Parimaribo,1833
Parimaribo,Dutch,Curacao,1833
Parimaribo,Dutch,St Eustatius,1834
Curacao,Dutch,Parimaribo,1834
Parimaribo,Dutch,Curacao,1834
Curacao,Dutch,Parimaribo,1834
Parimaribo,Dutch,St Eustatius,1834
St Eustatius,Dutch,Parimaribo,1834
Parimaribo,Dutch,Curacao,1835
Curacao,Dutch,Parimaribo,1835
St Eustatius,Dutch,Parimaribo,1835
Parimaribo,Dutch,Curacao,1835
Curacao,Dutch,Parimaribo,1836
Parimaribo,Dutch,Curacao,1836
St Eustatius,Dutch,Curacao,1837
Curacao,Dutch,St Eustatius,1837
St Eustatius,Dutch,Parimaribo,1837
Parimaribo,Dutch,Hellevoetsluis,1837
Texel,Dutch,Curacao,1822
Curacao,Dutch,Porto Rico,1823
Porto Rico,Dutch,St Eustatius,1823
St Eustatius,Dutch,Curacao,1823
St Eustatius,Dutch,Curacao,1824
Cartagena?,Dutch,Curacao,1825
Curacao,Dutch,St Eustatius,1826
Curacao,Dutch,Texel,1826
Ramekens,Dutch,Guinea,1761
Elmina,Dutch,Suriname,1762
Suriname,Dutch,Nederland,1762
Middelburg,Dutch,Guinea,1763
Ivoorkust,Dutch,Suriname,1764
Suriname,Dutch,Curacao,1765
Curacao,Dutch,Middelburg,1765
Texel,Dutch,Parimaribo,1790
Demmerarij,Dutch,St Eustatius,1790
St Eustatius,Dutch,Texel,1791
Texel,Dutch,Lerwich,1793
Lerwich,Dutch,Texel,1793
Texel,Dutch,Lissabon,1793
Lissabon,Dutch,West Africa,1794
Elmina,Dutch,Paramaribo,1794
Nederland,Dutch,Batavia,1838
Batavia,Dutch,Nieuwediep,1839
Amsterdam,Dutch,Sourabaya,1840
Port Royal,British,Leith,1781
La Coruña,Spanish,Montevideo,1768
La Coruña,Spanish,Montevideo,1769
La Coruña,Spanish,Montevideo,1770
Montevideo,Spanish,La Coruña,1770
La Coruña,Spanish,Montevideo,1771
Montevideo,Spanish,La Coruña,1772
La Coruña,Spanish,Montevideo,1777
Montevideo,Spanish,La Coruña,1777
La Coruña,Spanish,Montevideo,1779
Montevideo,Spanish,La Coruña,1780
La Coruña,Spanish,Montevideo,1768
Montevideo,Spanish,La Coruña,1768
La Coruña,Spanish,Montevideo,1770
Montevideo,Spanish,La Coruña,1771
La Coruña,Spanish,Montevideo,1772
Montevideo,Spanish,La Coruña,1772
La Coruña,Spanish,Montevideo,1773
Montevideo,Spanish,La Coruña,1773
La Coruña,Spanish,Montevideo,1774
Montevideo,Spanish,La Coruña,1774
La Coruña,Spanish,Montevideo,1775
Montevideo,Spanish,La Coruña,1775
La Coruña,Spanish,Montevideo,1786
Montevideo,Spanish,La Coruña,1786
La Coruña,Spanish,Montevideo,1796
Montevideo,Spanish,La Coruña,1796
La Coruña,Spanish,Montevideo,1776
Montevideo,Spanish,La Coruña,1776
La Coruña,Spanish,Montevideo,1780
Montevideo,Spanish,La Coruña,1780
La Coruña,Spanish,Montevideo,1795
Montevideo,Spanish,La Coruña,1796
La Coruña,Spanish,Montevideo,1778
Montevideo,Spanish,La Coruña,1778
Madeira,British,Spithead,1812
Nederland,Dutch,St George d'Elmina,1837
St George d'Elmina,Dutch,Batavia,1838
Batavia,Dutch,Rotterdam,1838
Batavia,Dutch,Den Helder,1841
Port Royal Jamaica,British,Plymouth,1790
Nieuwediep,Dutch,Suriname,1850
Suriname,Dutch,Nieuwediep,1850
Rotterdam,Dutch,Batavia,1841
Batavia,Dutch,Soerabaya,1841
Soerabaya,Dutch,Bezoeki,1841
Bezoeki,Dutch,Panaroekan,1841
Panaroekan,Dutch,Batavia,1841
Batavia,Dutch,Rotterdam,1841
Table Bay,British,Lisbon,1750
Lisbon,British,UK,1750
Cadiz,British,Spithead,1771
Deptford,British,Madeira,1768
Madeira,British,Rio de Janeiro,1768
Rio de Janeiro,British,Tierra del Fuego,1769
Tierra del Fuego,British,Tahiti,1769
Tahiti,British,New Zealand,1769
Java,British,Cape of Good Hope,1771
Cape of Good Hope,British,UK,1771
Monserrat,British,Downs,1784
Nieuwediep,Dutch,Akijab,1847
Akijab,Dutch,Nieuwediep,1848
Downs,British,Madras,1785
Hellevoetsluis,Dutch,Port Jackson,1852
Port Jackson,Dutch,Batavia,1853
Batavia,Dutch,Hellevoetsluis,1853
Nederland,Dutch,Batavia,1847
Motherbank,British,Madras,1803
Madras,British,Plymouth via St Helena,1804
Cork,British,Penang via Funchal and Table Bay,1805
Vlissingen,Dutch,Paramaribo,1815
Paramaribo,Dutch,Vlissingen,1816
Paramaribo,Dutch,Vlissingen,1816
Vlissingen,Dutch,Curacao,1817
West Indie,Dutch,Vlissingen,1819
Vlissingen,Dutch,San Salvador,1822
San Salvador,Dutch,Tafelbaai,1822
Tafelbaai,Dutch,Batavia,1823
Oost Indie,Dutch,Nederland,1826
Port Royal, Jamaica,British,Spithead,1789
Plymouth,British,Jamaica,1792
Havannah,British,Spithead,1795
Nederland,Dutch,St George d'Elmina,1842
St George d'Elmina,Dutch,Batavia,1842
Batavia,Dutch,Brouwershaven,1842
Batavia,Dutch,Brouwershaven,1852
Porthmouth,Dutch,Batavia,1853
Batavia,Dutch,Brouwershaven,1853
Cork,British,Madeira,1805
Madeira,British,Azores,1805
Azores,British,Cork,1805
Guernsey,British,Jamaica,1786
Fayal,British,Antigua,1775
Torbay,British,Gibraltar,1793
Gibraltar,British,Barbados,1793
CÁDIZ,Spanish,CÁDIZ,1779
CÁDIZ,Spanish,GIBRALTAR,1779
Spithead,British,Cape Coast,1788
St Thomas,British,Barbados,1789
Barbados,British,Spithead,1789
Spithead,British,Apolonia (Africa),1789
St Thomas,British,Spithead,1790
Spithead,British,Siera Leone,1799
Cork,British,Carlise Bay Barbados,1803
Jamaica,British,Cork,1805
Porto Praya,British,Axim Fort (Coast of Guinea),1753
Winnebah,British,Barbadoes,1753
Plymouth,British,Fayal,1753
Fayal,British,Porto Praya,1753
Plymouth, Monserrat,British,Spithead,1786
Cowes Rd,British,Barbadoes,1791
Kinsale,British,Carolina,1757
St Martins,British,Plymouth,1758
Spithead,British,Fernando Noronha,1759
Fernando Noronha,British,Spithead,1759
Spithead,British,Halifax,1760
New York,British,Basse Terre,1761
Spithead,British,Funchal Road,1759
Funchal Road,British,Augustine Bay, Madagascar,1759
Augustine Bay, Madagascar,British,Calicut,1759
Tillecherry Road,British,Madras,1760
Pondicherry,British,Rodriquez,1761
Antwerpen,Dutch,Rio de Janeiro,1818
Rio de Janeiro,Dutch,Antwerpen,1818
Antwerpen,Dutch,Rio de Janeiro,1818
Rio de Janeiro,Dutch,Antwerpen,1818
UK,British,St. Johns, Newfoundland,1766
Newfoundland,British,St Pauls island,1766
St Johns Newfoundland,British,Fort St Julian, Lisbon,1767
Spithead,British,Madeira,1768
Madeira,British,Porta Praya,1768
Porta Praya,British,Falkland Islands,1768
Port Egmont,British,Bretts Harbour,1769
Bretts Harbour,British,Port Egmont,1769
Port Egmont,British,cruising,1769
Port Egmont,British,Port Desire,1770
Port Desire,British,Port Egmont,1770
Port Egmont,British,Fayal,1770
Fayal,British,Spithead,1770
Spithead,British,Carlisle Bay,1795
Jamaica,British,Spithead,1772
Spithead,British,Santa Cruz,1773
Santa Cruz,British,Jamaica,1773
Hamoaze,British,Madeira,1791
Madeira,British,Jamaica,1791
Port Royal,British,Spithead,1792
Port Royal,British,Spithead,1786
Indische zee,Dutch,Simonsbaai,1819
Simonsbaai,Dutch,Mountsbaai,1819
Mountsbaai,Dutch,Plymouth,1819
London,British,Port Desire,1764
Point Posession,British,Gratiosa,1765
Madeira,British,Rio de Janeiro,1766
Rio de Janeiro,British,Port Egmont, Falkland Islands,1766
Port Egmont, Falkland Islands,British,Deptford,1767
Madeira,British,Port Praya,1767
Port Praya,British,Port Egmont, Falkland Islands,1767
Port Egmont,British,Spithead,1768
Porto Praya,British,Port Egmont, Falkland Islands,1768
Madeira,British,Porto Praya,1769
Porto Praya,British,Port Egmont, Falkland Islands,1769
Port Egmont, Falkland Islands,British,UK,1770
Nederland,Dutch,Batavia,1840
Nederland,Dutch,Batavia,1845
Batavia,Dutch,Soerabaija,1845
Soerabaija,Dutch,Nederland,1845
Nederland,Dutch,Java,1847
Plymouth,British,Madeira,1767
Madeira,British,Charlestown,1767
Charlestown,British,New York,1768
New York,British,Louisbourg,1768
Halifax,British,Charlestown,1768
Charlestown,British,Halifax,1769
Halifax,British,New York,1769
Charleston,British,Nantucket,1770
Halifax,British,Nantucket,1770
Charlestown,British,Norfolk Virginia,1771
Hampton Road Virginia,British,Boston,1771
Boston,British,Spithead,1771
Nantusket,British,New York,1771
Kedgeree,British,Madras,1797
Java Head,British,Trincomale,1798
Trincomale,British,Bombay,1803
Rotterdam,Dutch,Spitsbergen,1785
Spitsbergen,Dutch,Rotterdam,1785
Rotterdam,Dutch,Spitsbergen,1786
Iceland,Dutch,Bergen,1786
Narvick,Dutch,Rotterdam,1787
Rotterdam,Dutch,Spitsbergen,1788
Spitsbergen,Dutch,Noordzee,1788
Rotterdam,Dutch,Spitsbergen,1789
Spitsbergen,Dutch,Rotterdam,1789
Rotterdam,Dutch,Spitsbergen,1790
Spitsbergen,Dutch,Rotterdam,1790
Rotterdam,Dutch,Spitsbergen,1791
Spitsbergen,Dutch,Rotterdam,1791
Rotterdam,Dutch,Spitsbergen,1792
Spitsbergen,Dutch,Rotterdam,1792
Gothenburg,Swedish,Canton,1748
Canton,Swedish,Gothenburg,1749
Dordrecht,Dutch,Spitsbergen, Edinburgh,1798
CÁDIZ,Spanish,CÁDIZ,1779
CÁDIZ,Spanish,CÁDIZ,1779
CÁDIZ,Spanish,CÁDIZ,1779
CÁDIZ,Spanish,PUERTO RESERVADO,1776
Lizard,British,Azores and back,1793
Cork,British,Barbados,1793
Spithead,British,Jamaica,1801
Jamaica,British,Spithead,1803
Portsmouth,British,Gibraltar,1823
Gibraltar,British,Barbados,1823
Spithead,British,Table Bay,1798
Nederland,Dutch,Curaçao,1852
Curaçao,Dutch,Willemsoord,1852
Nederland,Dutch,Tanger,1852
Tanger,Dutch,Teneriffe,1852
Teneriffe,Dutch,Tafelbaai,1852
Tafelbaai,Dutch,Batavia,1853
Kaap de Goede Hoop,Dutch,Europa,1797
Middelburg,Dutch,kust van Guinea en Suriname,1783
Middelburg,Dutch,kust van Guinea en Suriname,1784
Middelburg,Dutch,kust van Guinea en Suriname,1784
Middelburg,Dutch,kust van Guinea en Suriname,1785
Motherwell,British,Madras,1782
Motherwell,British,Madras,1783
Java Head,British,UK,1784
Java Head,British,UK,1784
Java Head,British,UK,1789
Downs,British,Bombay,1788
Downs,British,Bombay,1789
Downs,British,Bombay,1789
Java Head,British,Downs,1790
Downs,British,Malacca,1828
Downs,British,Malacca,1828
Java Head,British,Downs,1829
Plymouth,British,Calcutta,1800
Plymouth,British,Calcutta,1801
St Helena,British,Portsmouth,1802
Motherbank,British,St Helena,1803
St Helena,British,Cape,1806
Cape,British,St Helena,1806
St Helena,British,Bueno Aires,1806
Bueno Aires,British,Cape,1806
Table Bay,British,London,1807
Cadiz,British,Spithead,1767
Boston,British,Antigua,1771
Bombay,British,Table Bay,1784
Table Bay,British,St Helena,1784
St Helena,British,Spithead,1784
Nederland,Dutch,Suriname,1838
Hellevoetsluis,Dutch,Suriname,1841
Nederland,Dutch,Suriname,1841
Paramaribo,Dutch,Hellevoetsluis,1844
Nevis,British,Start Point,1752
Spithead,British,Jamaica,1759
Cape Florida,British,Spithead,1763
Spithead,British,Halifax,1766
Halifax,British,Spithead,1767
Portsmouth ,British,Lisbon,1771
Lisbon,British,Boston,1772
Boston,British,Hampton road Virginia,1772
Plymouth,British,Plymouth,1814
Plymouth,British,Falmouth,1815
Plymouth,British,Madras,1778
Bali,British,St Helena,1779
Downs,British,Sumbava (E Bali),1780
Benkulen,British,St Helena,1781
Portsmouth,British,Prince of Wales Island,1809
Portsmouth,British,Prince of Wales Island,1810
Portsmouth, via St Helena,British,Benkuleu,1814
Java Head via St Helena,British,Downs UK,1815
Crooked Island (Bahamas),British,Spithead,1752
Cape Coast,British,Barbados,1753
Port Royal,British,Portsmouth,1753
Kaap de Goede Hoop,Dutch,Batavia,1787
Vlissingen,Dutch,Kaap de Goede Hoop,1790
Spithead,British,Barbados,1801
Jamaica,British,Spithead,1801
Lizard,British,Fyall Bay (Azores),1754
Fyall Bay (Azores),British,Gambia River,1754
Gambia River,British,Cape Coast,1755
Annabona,British,Barbados,1755
Cuba,British,England,1755
St Johns    (Newfoundland),British,Lisbon,1757
Lisbon,British,Spithead,1757
Plymouth,British,St Johns ,1758
St Johns,British,Cadiz,1758
Cadiz,British,Spithead,1758
Torbay UK,British,St Johns,1759
St Johns,British,Lisbon,1759
Lisbon,British,Start,1760
Helvoetsluis,Dutch,Monrovia,1854
Kust van Guinea,Dutch,Pampus,1854
Batavia,Dutch,Rammekens,1790
Batavia,Dutch,Rammekens,1791
Rammekens,Dutch,Ceylon,1788
Cork,British,Halifax,1757
Spithead,British,Funchal Roads,1758
Funchal Roads,British,St Jago (Sao Tiago),1758
St Jago (Sao Tiago),British,St. Augustine Madagascar,1758
Augustine Bay, Madagascar,British,Bombay,1758
St Augustine's Bay, Madagascar,British,Bombay,1758
Bombay,British,Rodriques (Diego Ray),1761
Rodriques (Diego Ray),British,Madras,1761
Madras,British,Trincomalee,1762
Madras,British,Pulo Timoan,1762
Pulo Timoan ,British,Manilla,1762
Trincomalee,British,Tabe Bay,1763
Cape of Good Hope ,British,UK,1764
Spithead,British,Madeira,1784
St Thomas (Sao Tome),British,Spithead,1784
St Pierre Martinque,British,Spithead,1796
Plymouth,British,Barbados,1797
Spithead,British,Fenshall Road (Antigua),1755
Fenshall Road Madeira,British,Antigua,1755
Start,British,New York,1778
Middelburg,Dutch,Kaap Tagarijn,1751
Middelburg,Dutch,Rio Berbice,1751
Rio Berbice,Dutch,Middelburg,1752
Middelburg,Dutch,West Africa,1752
West Africa,Dutch,Middelburg,1754
Sandy Point (New York),British,UK,1751
Sandy Point (New York),British,UK,1751
Port Antoio Jamaica,British,The Downs,1800
Spithead,British,Johanna,1805
Canton River, China,British,St Helena,1750
Portland,British,Bardados,1759
Plymouth,British,York Harbour, Newfoundland,1769
Cadiz,British,Spithead,1769
Plymouth,British,Madeira,1770
Cape,British,Cape of Good Hope,1789
Spithead ,British,St John's Newfoundland,1767
St John's Newfoundland,British,Spithead ,1767
Spithead ,British,St John's Newfoundland,1768
Gothenburg,Swedish,Macao,1750
Macao,Swedish,Gothenburg,1752
PUERTO DE PAITA,Spanish,PUERTO DE MACAO,1783
PUERTO PAITA,Spanish,PUERTO DE MACAO,1783
BAHÍA DE CÁDIZ,Spanish,LEVANTE Y TORREVIEJA Y VUELTA,1825
LEVANTE,Spanish,ALICANTE,1826
Texel,Dutch,West-Indie,1754
West-Indie,Dutch,Texel,1754
Nederland,Dutch,St Eustasius,1756
Texel,Dutch,West-Indie,1759
West-Indie,Dutch,Texel,1759
Rammekens,Dutch,West-Afrika,1764
West-Afrika,Dutch,Bramspunt,1765
Bramspunt,Dutch,Middelburg,1766
Middelburg,Dutch,Angola,1769
Malimba,Dutch,Bramspunt,1770
Bramspunt,Dutch,Middelburg,1770
Rammekens,Dutch,West Africa,1775
West Africa,Dutch,Suriname,1776
Suriname,Dutch,St Eustatius,1776
St Eustatius,Dutch,Middelburg,1776
Rammekens,Dutch,West Africa,1777
Elmina,Dutch,Suriname,1778
Elmina,Dutch,Suriname,1778
Suriname,Dutch,Middelburg,1778
Nederland,Dutch,Kaap de Goede Hoop,1844
Kaap de Goede Hoop,Dutch,Batavia,1844
Batavia,Dutch,St Helena,1849
St Helena,Dutch,Hellevoetsluis,1849
Hellevoetsluis,Dutch,Suriname,1850
Suriname,Dutch,Curacao,1850
Curacao,Dutch,Hellevoetsluis,1850
Hellevoetsluis,Dutch,Rio de Janeiro,1851
Rio de Janeiro,Dutch,Batavia,1851
St Helens,British,Funchal Road,1756
Funchal Road,British,St Helena,1756
St Helena,British,Lops Head Ireland,1756
Spithead ,British,Cork,1757
Cork,British,New York,1758
Texel,American,New York,1807
Torbay,British,Madeira,1780
Madeira,British,St Helena,1780
Madeira,British,St Helena,1781
Spithead,British,Madras,1804
Spithead,British,Madras,1804
Spithead,British,Madras,1807
Texel,Dutch,Porto Praya,1789
Porto Prayo,Dutch,Baaij Falso,1789
Baaij Falso,Dutch,Simonsbaaij,1789
Simonsbaaij,Dutch,Punto Gale,1789
Trincomale,Dutch,Palliacatte,1790
Palliacatte,Dutch,Malakka,1790
Batavia,Dutch,Port Louis,1792
Port Louis,Dutch,Baaij van Algoa,1792
Baaij van Algoa,Dutch,Caap de Goede Hoop,1792
Caap de Goede Hoop,Dutch,St Helena,1793
St Helena,Dutch,Texel,1793
Canaria,Dutch,Porte Praijo,1796
Porte Praijo,Dutch,Schapeneiland,1796
Saldanne baaij,Dutch,Tafelbaaij,1796
Schapeneiland,Dutch,Saldanne baaij,1796
Schapeneiland,Dutch,Schapeneiland,1796
Texel,Dutch,Canaria,1796
Table Bay,British,Plymouth,1796
Batavia,Dutch,Europa,1810
Spithead,British,Carlisle Bay,1796
't Nieuwe Diep,Dutch,Batavia,1841
New York,British,Start Point,1750
Island of Bourbon,British,St Helena,1753
St Helena,British,Blackwall UK,1754
Spithead,British,St Helena,1795
Nederland,Dutch,Rio de Janeiro,1832
Nederland,Dutch,Rio de Janeiro,1831
Rio de Janeiro,Dutch,Batavia,1832
Rio de Janeiro,Dutch,Batavia,1832
Rio de Janeiro,Dutch,Batavia,1832
Batavia,Dutch,St Helena,1836
Batavia,Dutch,St Helena,1836
St Helena,Dutch,Hellevoetsluis,1836
St Helena,Dutch,Hellevoetsluis,1836
Rotterdam,Dutch,Batavia,1838
Batavia,Dutch,Rotterdam,1839
Nieuwediep,Dutch,Batavia,1834
Batavia,Dutch,Nieuwediep,1834
Amsterdam,Dutch,Batavia,1835
Batavia,Dutch,Amsterdam,1835
Amsterdam,Dutch,Batavia,1836
Batavia,Dutch,Amsterdam,1836
Batavia,Dutch,Amsterdam,1837
Nieuwediep,Dutch,Batavia,1839
Tjilatjap,Dutch,Nieuwediep,1839
Kaap de Goede Hoop,Dutch,Vlissingen,1750
Kaap de Goede Hoop,Dutch,Vlissingen,1750
Batavia,Dutch,Nagepatnam,1755
Bengal,Dutch,Rammekens,1756
Nagepatnam,Dutch,Bellesoor,1755
River Plate,British,Table Bay,1807
near Equator,British,Madras,1794
Trincomalee,British,Madras,1794
Madras,British,UK,1798
Madras,British,UK,1798
Cape Lopez,British,Antigua,1776
Spithead,British,Surinam,1801
West Indies,British,Coastal,1801
Gibraltar,British,Downs,1761
Plymouth,British,New York,1766
New York,British,Halifax,1766
Halifax,British,Portsmouth,1766
Newport Rhode Island,British,Antigua,1775
Spithead,British,Murrays Anchorage, Bermuda,1798
Murrays Anchorage, Bermuda,British,New Providence Bahamas,1798
Halifax,British,Nassau, Bahamas,1799
Cork,British,Carlisle Bay, Barbados,1800
Nieuwediep,Dutch,Suriname,1831
Paramaribo,Dutch,St Eustatius,1832
St Martin,Dutch,Curacao,1832
Curacao,Dutch,Paramaribo,1832
Paramaribo,Dutch,Curacao,1833
Curacao,Dutch,St Domingo,1833
St Domingo,Dutch,Nieuwediep,1833
Vlissingen,Dutch,Santa Cruz,1837
Vlissingen,Dutch,Santa Cruz,1837
Santa Cruz,Dutch,Tafelbaai,1837
Santa Cruz,Dutch,Tafelbaai,1837
Tafelbaai,Dutch,Batavia,1838
Tafelbaai,Dutch,Batavia,1838
Batavia,Dutch,Sourabaya,1838
Batavia,Dutch,Sourabaya,1838
Sourabaya,Dutch,Sourabaya,1838
Sourabaya,Dutch,Timor,1838
Timor,Dutch,Banda,1838
Banda,Dutch,Amboina,1838
Amboina,Dutch,Ternate,1838
Ternate,Dutch,Menado,1838
Menado,Dutch,Macasser,1838
Macasser,Dutch,Batavia,1838
Batavia,Dutch,Padang,1838
Padang,Dutch,Tapanolie,1839
Tapanolie,Dutch,Baros,1839
Baroes,Dutch,Padang,1839
Padang,Dutch,Tapanolie,1839
Tapanolie,Dutch,Baroes,1839
Baroes,Dutch,Sinkel,1839
Batavia,Dutch,St Helena,1840
St Helena,Dutch,Texel,1840
Schiedam,Dutch,Spitsbergen,1788
Spitsbergen,Dutch,Schiedam,1788
Schiedam,Dutch,Spitsbergen,1789
Spitsbergen,Dutch,Schiedam,1789
Schiedam,Dutch,Spitsbergen,1790
Spitsbergen,Dutch,Schiedam,1790
Schiedam,Dutch,Spitsbergen,1791
Spitsbergen,Dutch,Schiedam,1791
Schiedam,Dutch,Spitsbergen,1792
Spitsbergen,Dutch,Schiedam,1792
Schiedam,Dutch,Spitsbergen,1793
Simons Bay,British,St Helena,1798
St Helena,British,Simons Bay,1798
St Helena,British,Table Bay,1798
St Augustine,British,Simons Bay,1799
Charles Town (Charleston USA),British,Lizard,1752
Charles Town (Charleston USA),British,Lizard,1753
Portsmouth,British,Cape Henry,1755
Halifax,British,Spithead,1756
Torbay,British,St Kitts,1757
Barbados,British,Spithead,1780
Spithead,British,New York,1781
Spithead,British,Barbados,1799
Plymouth,British,Boston,1750
Cape Sambrough,British,Woolwich,1752
Westray Head,British,Iceland (Coastal),1761
Annabona,British,UK,1768
Gambia ,British,UK,1769
St Thomas,British,UK,1770
Port Royal Jamaica,British,Plymouth,1804
Spithead,British,Carlise Bay via Funchal,1804
Port Royal Jamaica,British,Plymouth,1804
Westray Head,British,Iceland (Coastal),1761
Westray Head,British,Iceland (Coastal),1761
Westray Head,British,Iceland (Coastal),1761
Westray Head,British,Iceland (Coastal),1761
